Marca,Modelo,Precio,Tipo_Combustible,Año,kms,CV,N_Puertas,Tipo_Cambio,color,N_Fotos,Provincia,TDG
1,566,2800,3,2006.0,134000,130.0,2,2,4,5,15,-46.809642857142855
1,507,7900,3,2016.0,156980,115.0,2,2,3,20,4,-18.85594936708861
1,327,8990,3,2014.0,119500,109.0,2,2,3,29,32,-12.280088987764183
1,817,16999,3,2011.0,146000,102.0,2,2,4,8,15,-7.5825636802164835
1,47,10710,3,2016.0,87100,120.0,2,2,4,15,49,-7.12110177404295
1,77,35375,6,2020.0,1,225.0,2,3,4,12,44,1.0064452296819788
1,889,10900,4,2020.0,12750,69.0,2,2,3,20,7,-0.16311926605504587
1,685,7500,4,2015.0,100000,84.0,2,2,3,6,29,-12.321733333333333
1,616,14900,4,2019.0,19420,95.0,2,2,4,10,17,-0.2967785234899329
1,71,33835,3,2021.0,1,130.0,2,2,4,31,45,1.003901285650953
1,138,9750,4,2016.0,85000,125.0,2,2,3,8,33,-7.704820512820513
2,636,21490,4,2017.0,79999,150.0,2,2,3,31,45,-2.7154490460679384
1,117,7650,3,2010.0,185700,150.0,2,2,4,46,29,-23.254509803921568
1,905,10900,3,2016.0,54327,90.0,2,2,4,7,16,-3.9755963302752293
1,633,2700,3,2013.0,240000,95.0,2,2,4,4,7,-87.85259259259259
1,801,12450,3,2018.0,41844,120.0,2,2,4,48,45,-2.3510843373493975
2,729,8800,3,2009.0,219000,177.0,3,2,2,9,45,-23.865795454545456
1,616,5500,3,2009.0,107000,70.0,2,2,2,12,31,-18.44127272727273
1,805,16900,3,2017.0,88905,115.0,2,3,4,30,31,-4.253609467455622
2,696,3333,3,2002.0,400000,163.0,2,2,4,10,24,-118.96189618961897
1,184,21900,3,2018.0,13638,120.0,2,2,4,21,7,0.38287671232876713
2,735,8890,3,2006.0,210973,272.0,2,3,4,22,2,-22.700337457817774
3,238,15000,3,2013.0,47000,109.0,2,3,3,10,16,-2.1256666666666666
2,735,28900,3,2017.0,55962,190.0,2,2,4,20,51,-0.9296885813148789
1,211,10910,3,2016.0,80743,102.0,2,2,4,14,29,-6.391200733272227
1,369,2200,3,2006.0,280000,115.0,1,2,4,17,45,-126.21909090909091
1,507,13850,4,2019.0,74000,130.0,2,2,4,26,45,-4.333357400722021
2,643,59900,3,2018.0,40000,272.0,2,3,4,54,29,0.3368447412353923
1,142,12500,5,2016.0,85000,136.0,2,3,4,14,29,-5.7888
1,322,6750,3,2014.0,114563,90.0,2,2,4,12,45,-15.958518518518519
1,646,20300,3,2018.0,10000,130.0,2,2,4,11,39,0.5139408866995074
1,147,5490,4,2009.0,121300,101.0,2,3,4,30,2,-21.07559198542805
2,733,16950,3,2015.0,85000,143.0,2,2,3,14,17,-4.0060766961651915
2,693,3900,3,2005.0,195000,109.0,2,2,4,8,29,-48.97102564102564
1,449,2500,3,2007.0,206000,70.0,2,2,4,6,7,-81.3708
1,407,2900,4,2000.0,136000,105.0,1,2,4,27,7,-45.859310344827584
1,28,10600,3,2017.0,91616,75.0,2,2,4,14,36,-7.635660377358491
1,481,22800,4,2020.0,20,163.0,2,2,2,16,26,1.0064035087719299
1,719,18500,4,2017.0,70000,125.0,1,2,4,6,29,-2.776864864864865
1,507,7290,4,2015.0,44000,110.0,2,2,4,8,25,-5.020164609053498
1,714,5499,3,2008.0,159999,155.0,2,2,3,13,7,-28.067284960901983
1,905,7900,3,2015.0,169000,90.0,2,2,3,28,0,-20.380632911392404
1,407,15990,4,2018.0,82000,115.0,2,2,3,19,29,-4.120825515947467
1,783,25750,3,2020.0,18,116.0,2,2,4,19,2,1.0039223300970874
1,552,16900,4,2019.0,57000,140.0,2,2,3,29,32,-2.364319526627219
1,407,15400,4,2017.0,65000,125.0,2,3,4,6,32,-3.2124025974025976
1,236,2000,3,2007.0,220000,140.0,2,2,3,7,21,-108.9285
2,866,19800,3,2013.0,159000,177.0,2,2,4,6,4,-7.021161616161616
2,735,23990,3,2013.0,109990,313.0,2,3,2,41,45,-3.57157148812005
4,95,410000,4,2019.0,150,510.0,3,2,4,12,17,1.0008926829268292
1,298,500,4,2005.0,159000,75.0,2,2,3,0,25,-316.844
2,869,55490,3,2018.0,26391,258.0,2,3,4,40,29,0.5291403856550729
1,170,8500,3,2016.0,160000,120.0,2,2,4,12,15,-17.809058823529412
1,185,2950,4,2006.0,136377,125.0,2,2,4,9,29,-45.18610169491525
1,363,5900,3,2015.0,141000,95.0,2,2,3,14,29,-22.881694915254236
1,776,3300,4,2008.0,123000,92.0,2,2,4,35,23,-36.24393939393939
1,463,16499,3,2018.0,37000,115.0,2,2,3,12,32,-1.2354082065579732
1,186,26750,3,2021.0,0,131.0,2,2,4,22,1,1.0050093457943925
2,733,2500,3,2001.0,283400,136.0,2,2,2,4,20,-112.304
1,326,18750,3,2020.0,5,140.0,2,2,3,15,4,1.00736
1,70,9500,4,2018.0,30000,69.0,1,2,3,14,7,-2.150315789473684
2,100,11000,3,2011.0,90000,90.0,1,3,2,54,10,-7.173181818181818
1,142,11200,5,2014.0,84822,136.0,2,3,4,28,7,-6.560892857142857
1,407,12500,3,2017.0,47000,110.0,2,2,4,4,2,-2.75096
1,370,4700,3,2005.0,190000,109.0,2,2,2,2,45,-39.401702127659576
1,24,3900,3,2010.0,178000,70.0,2,2,4,15,3,-44.62230769230769
2,734,29100,3,2017.0,52550,190.0,3,3,2,10,19,-0.7991408934707904
1,889,12500,5,2016.0,43987,100.0,2,3,4,19,7,-2.51064
1,460,25900,4,2020.0,8200,102.0,1,2,3,5,4,0.6874517374517375
4,95,117999,4,2020.0,5999,385.0,3,3,2,17,17,0.9524826481580352
1,646,20900,4,2019.0,12000,140.0,2,2,4,20,36,0.43267942583732055
1,263,8990,3,2017.0,127000,75.0,2,2,3,35,29,-13.11813125695217
2,681,37500,6,2020.0,100,190.0,2,3,4,54,22,1.0025333333333333
1,139,17900,3,2018.0,72000,115.0,2,2,3,33,43,-3.015754189944134
1,48,650,4,1991.0,307000,94.0,2,2,4,9,29,-471.15846153846155
1,805,17299,3,2017.0,54478,115.0,2,3,4,27,7,-2.142320365339037
2,894,19950,4,2010.0,134000,204.0,3,2,4,25,24,-5.706365914786967
1,430,21990,4,2020.0,10,130.0,2,2,3,15,47,1.005593451568895
3,242,10800,3,2008.0,84754,150.0,1,2,4,33,33,-6.833240740740741
1,326,10000,3,2014.0,340000,148.0,2,2,3,1,16,-32.9849
1,922,11100,4,2020.0,8984,75.0,2,2,4,26,7,0.19765765765765766
1,805,19500,3,2016.0,90000,150.0,2,2,4,11,27,-3.6075384615384616
1,218,9500,4,1982.0,153000,101.0,3,2,3,12,33,-15.094315789473685
1,76,25990,3,2019.0,22200,130.0,2,3,4,54,46,0.15098114659484418
2,864,19850,3,2016.0,72000,150.0,2,3,3,11,7,-2.619395465994962
4,95,83000,4,2011.0,86000,500.0,3,3,4,45,47,-0.030036144578313252
1,369,9000,3,2017.0,95000,120.0,2,2,3,8,39,-9.54188888888889
2,828,19900,4,2018.0,25961,122.0,2,2,3,25,5,-0.29824120603015075
1,423,10900,3,2016.0,94000,110.0,2,2,3,22,45,-7.6134862385321105
1,161,21950,3,2017.0,99950,163.0,3,2,4,24,39,-3.5459681093394075
2,100,14400,3,2016.0,39611,90.0,1,2,3,8,7,-1.744236111111111
1,925,19990,4,2019.0,20877,140.0,2,3,4,45,29,-0.037168584292146076
1,190,4800,3,2005.0,170780,109.0,2,3,4,10,32,-34.555625
1,211,6600,3,2008.0,150000,75.0,2,2,3,9,49,-21.715454545454545
1,474,5900,3,2015.0,140000,75.0,1,2,3,12,45,-22.715593220338985
